OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016341,Total,115,101,34,67,2,4,1,3,7,7,0,0,0,1
E00016309,Total,146,68,29,39,0,21,4,17,56,55,0,1,0,1
E00016323,Total,114,47,17,30,1,50,25,25,14,14,0,0,0,2
E00016324,Total,161,75,27,48,1,37,19,18,46,44,0,2,0,2
E00016325,Total,142,43,14,29,1,6,2,4,92,88,0,4,0,0
E00016327,Total,124,72,27,45,0,16,5,11,36,35,0,1,0,0
E00016326,Total,124,81,27,54,0,18,2,16,25,24,0,0,1,0
E00016329,Total,144,61,21,40,12,37,1,36,32,31,0,1,0,2
E00016332,Total,148,112,60,52,2,9,2,7,25,24,0,1,0,0
E00016333,Total,111,66,27,39,0,13,1,12,32,28,1,3,0,0
E00016337,Total,122,101,44,57,3,7,1,6,11,9,0,2,0,0
E00016311,Total,126,88,28,60,0,14,6,8,24,22,0,2,0,0
E00016328,Total,126,86,22,64,1,14,10,4,25,25,0,0,0,0
E00016330,Total,117,53,18,35,0,29,20,9,33,33,0,0,0,2
E00016331,Total,137,81,42,39,0,9,1,8,47,44,0,2,1,0
E00016334,Total,163,117,34,83,0,12,4,8,31,28,0,3,0,3
E00016613,Total,150,133,71,62,1,3,1,2,12,11,0,1,0,1
E00016614,Total,128,55,18,37,1,55,10,45,13,12,0,1,0,4
E00016615,Total,122,87,37,50,0,0,0,0,35,35,0,0,0,0
